   POLL_ID,CO,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY
1863,3,26,19,1,10141,Enoch Pratt Free Library Herring Run Branch,3801 Erdman Avenue,,Baltimore,MD,-21213,1,45,7,8,6,13,,,,2,O,1,1,,,,
1864,3,25,1,1,10142,School No. 246,301 S. Beechfield Avenue,,Baltimore,MD,-21229,1,44A,7,8,6,8,,,,2,S,1,1,,,,
1865,3,25,2,1,10142,School No. 246,301 S. Beechfield Avenue,,Baltimore,MD,-21229,1,44A,7,8,6,8,,,,2,S,1,1,,,,
1866,3,25,3,1,11414,School No. 226,1207 Pine Heights Avenue,,Baltimore,MD,-21229,1,40,3,8,6,10,,,,2,S,1,1,,,,
1867,3,4,2,1,10143,Steadman Fire Station,15 S. Eutaw Street,,Baltimore,MD,-21201,1,40,7,8,6,11,,,,2,F,1,1,,,,
1868,3,4,3,1,10144,Murty Center-Poe Auditorium,206 N. Fremont Avenue,,Baltimore,MD,-21201,1,40,7,8,6,11,,,,2,T,1,1,,,,
1869,3,5,1,1,14917,Pleasant View Garden Apts.,201 N. Aisquith Street,,Baltimore,MD,21202,1,46,7,8,6,12,,,,2,O,,,,,,
1870,3,10,3,1,10146,Latrobe Homes,900 E. Madison Street,,Baltimore,MD,-21202,1,46,7,8,6,12,,,,2,O,1,1,,,,
1871,3,10,4,1,10147,School No. 16,1101 Valley Street,,Baltimore,MD,21202,1,45,7,8,6,12,,,,2,S,1,1,,,,
1872,3,11,1,1,14919,Chase House,1027 Cathedral Street,,Baltimore,MD,21201,1,45,7,8,6,12,,,,2,O,,,,,,
1873,3,11,2,1,14919,Chase House,1027 Cathedral Street,,Baltimore,MD,21201,1,45,7,8,6,11,,,,2,O,,,,,,
1874,3,11,4,1,10149,School No. 122 Samuel Coleridge-Taylor,507 W. Preston Street,,Baltimore,MD,21201,1,44A,7,8,6,11,,,,2,S,1,1,,,,
1875,3,11,5,1,14919,Chase House,1027 Cathedral Street,,Baltimore,MD,21201,1,40,7,8,6,11,,,,2,O,,,,,,
1876,3,11,6,1,10150,Enoch Pratt Free Library Central Branch,400 Cathedral Street,,Baltimore,MD,-21201,1,40,7,8,6,11,,,,2,O,1,1,,,,
1877,3,11,7,1,10151,Waxter Center,1000 Cathedral Street,,Baltimore,MD,21201,1,45,7,8,6,12,,,,2,T,1,1,,,,
1878,3,14,3,1,10152,Engine House No. 13,405 McMechen Street,,Baltimore,MD,21217,1,44A,7,8,6,11,,,,2,F,1,1,,,,
1879,3,14,4,1,10153,School No. 11,1624 Eutaw Place,,Baltimore,MD,-21217,1,44A,7,8,6,11,,,,2,S,1,1,,,,
1880,3,14,5,1,10154,Enoch Pratt Free Library Pennsylvania Ave Branch,1531 W. North Avenue at Penns,,Baltimore,MD,21217,1,40,7,8,6,7,,,,2,O,1,1,,,,
